name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,artist
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,212600,70,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,0.0327,116.998,4,Taylor Swift
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231833,71,0.0885,0.733,0.733,0.0,0.168,-5.376,0.067,96.057,4,Taylor Swift
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231000,73,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,4,Taylor Swift
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,235800,71,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,0.0447,92.021,4,Taylor Swift
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,193289,70,0.000656,0.588,0.721,0.0,0.131,-5.579,0.0317,96.997,4,Taylor Swift
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,219209,70,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,0.0729,160.058,4,Taylor Swift
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,207650,69,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,0.0439,118.009,4,Taylor Swift
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,211103,69,0.0362,0.618,0.683,0.0,0.305,-6.438,0.194,169.971,4,Taylor Swift
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,220433,70,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,0.0656,139.985,4,Taylor Swift
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,247533,69,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,0.0515,119.997,4,Taylor Swift
This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,250100,68,0.316,0.471,0.509,0.0,0.0673,-8.796,0.0355,144.071,4,Taylor Swift
I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,195700,69,0.0999,0.582,0.788,0.0,0.115,-5.358,0.0445,160.027,4,Taylor Swift
Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,271000,70,0.25,0.772,0.391,2.92e-05,0.0981,-8.892,0.0293,103.955,4,Taylor Swift
